country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",12-04-2025 09:00,25.5626095,84.663264,NO2,NA,NA,NA
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",12-04-2025 09:00,24.75746,84.366208,PM10,39,188,101
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",12-04-2025 09:00,24.75746,84.366208,CO,24,56,39
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",12-04-2025 09:00,24.75746,84.366208,OZONE,12,83,25
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",12-04-2025 09:00,26.80365,84.51954,SO2,8,20,15
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",12-04-2025 09:00,26.80365,84.51954,CO,18,106,44
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",12-04-2025 09:00,26.80365,84.51954,OZONE,18,26,22
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",12-04-2025 09:00,24.7955,84.9994,NO2,4,11,8
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",12-04-2025 09:00,24.7955,84.9994,SO2,13,14,14
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",12-04-2025 09:00,24.7955,84.9994,OZONE,19,21,20
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",12-04-2025 09:00,24.762518,84.982348,PM10,32,58,45
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",12-04-2025 09:00,25.697189,85.2459,PM2.5,44,128,77
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",12-04-2025 09:00,25.697189,85.2459,NO2,13,27,20
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",12-04-2025 09:00,25.697189,85.2459,SO2,3,9,5
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",12-04-2025 09:00,25.251013,86.989001,PM2.5,20,58,36
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",12-04-2025 09:00,25.251013,86.989001,CO,12,40,21
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",12-04-2025 09:00,25.251013,86.989001,OZONE,13,19,16
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",12-04-2025 09:00,25.265194,87.012947,OZONE,1,13,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",12-04-2025 09:00,25.56752,83.966379,NO2,5,5,5
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",12-04-2025 09:00,25.560083,87.553265,OZONE,1,43,2
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",12-04-2025 09:00,26.0881305,87.93840336,SO2,1,32,14
